What is your professional background?;;;;;;;How often are such informal diagrams used for the following purposes?;;;;;How often do you use informal models in the following phases of development?;;;;;;How are informal models typically recorded? Assess how often informal models are recorded in the following ways in your department.;;;;What types of diagrams / models are typically involved (e.g. state diagrams, activity diagrams, ...);;;;;;;;Which of the following statements regarding the (re)use of informal models do you agree with?;;;;;;;
Mechanical Engineering;Electrical Engineering;Informatics;Cybernetics;Mechatronics;Business Management;Other;Communication;Documentation;Design of Digital Twins;Requirements Analysis of Digital Twins ;Further;Conception: Profile and requirements analysis;Development: prototyping, designing and analyzing the CPS, testing design decisions.;Production: monitoring of production, tracking of production steps;Utilization and support: collecting information on current and historical system status during operation, predictive maintenance;Retirement: Knowledge transfer for future systems Generations;In what other phases (not mentioned above) do you use informal models? (Separate different purposes with commas.);The informal models are created digitally (e.g. in PowerPoint) and stored in this form.;The informal models are photographed and the photos are saved.;The informal models are manually transferred to a suitable tool (e.g. Enterprise Architect) and stored in this form.;The informal models remain on the whiteboard/chalkboard/flipchart.;CAD/3D Models;E/E architecture models;State diagrams;Activity diagrams;Database(scheme);(Business) process model;Development (process) model;Other;The informal artifacts were not reused because they were not persisted.;The informal artifacts were not reused, although you were recorded.;The photographs of informal artifacts were reused at a later date.;Photographs of informal artifacts were saved but no longer consulted.;Manual transfer of the informal models was time consuming.;Manual transfer of informal models was useful for later work.;The informal models held were difficult to access/find.;Further Problems
No;No;Yes;No;No;No;;rarely;rather often;rarely;rather rarely;;;;;;;;;;;;No;No;No;No;No;No;No;Deployment;;;;;;;;
No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;;;;;;;;;
No;No;Yes;No;No;No;;very often;very often;rarely;not at all;;rather often;rather often;rarely;rather rarely;;;rather often;very often;not at all;rarely;No;No;No;No;No;No;No;;;;;;;;;
No;No;Yes;No;No;No;;rather often;rather often;rather rarely;rather often;;rather often;rather often;not at all;rather rarely;rarely;;rather often;rarely;rather often;rarely;No;Yes;Yes;Yes;No;No;No;;rather agree;rather agree;rather not agree;rather agree;agree at all;rather agree;rather agree;
No;No;Yes;No;No;No;Psychology;very often;very often;rather often;very often;;very often;rather often;;;rather often;;rather often;rather often;;;No;Yes;Yes;Yes;No;No;No;;rather agree;rather agree;rather not agree;rather agree;agree at all;rather agree;agree at all;Lack of analytical ability, Misunderstanding
No;No;Yes;No;No;No;;very often;very often;;;;very often;very often;;;;;very often;;;;No;No;No;No;No;No;No;Component Model;;;;;;;;
No;No;Yes;No;No;No;Theoretical physics;very often;very often;rather rarely;rather often;;very often;rather often;rather rarely;rather rarely;rarely;;rather often;very often;rather often;rather rarely;No;Yes;Yes;No;No;No;Yes;;rather not agree;rather not agree;agree at all;rather not agree;rather agree;agree at all;rather not agree;
No;No;Yes;No;No;No;;rather rarely;rather rarely;rather rarely;rather rarely;;;;;;;;;;;;No;No;No;No;No;Yes;No;;;;;rather not agree;;rather agree;rather not agree;
No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;;;;;;;;;
No;No;Yes;No;No;No;Physics;rather often;very often;rather often;rather often;;rather often;rather often;rather often;rather often;rather often;;very often;rather rarely;rarely;rarely;No;Yes;Yes;Yes;Yes;Yes;Yes;;rather not agree;disagree at all;rather agree;rather not agree;rather agree;rather agree;rather not agree;
No;No;Yes;No;No;No;;rarely;rather rarely;very often;rather rarely;;;;very often;very often;very often;;rarely;rarely;rarely;rarely;Yes;Yes;No;No;No;Yes;No;;;;;;;;;
No;No;Yes;No;No;No;;very often;rather rarely;very often;rather rarely;;rather often;rather often;rather often;rather often;;;rather often;;;;No;No;No;No;Yes;No;No;;;;;;;;;
No;No;Yes;No;No;No;Natural Science;rather often;rather often;rather rarely;rather rarely;;rather often;rarely;;;;;rather often;rather often;rather rarely;not at all;No;No;Yes;Yes;No;Yes;Yes;;rather agree;rather not agree;disagree at all;rather agree;agree at all;rather not agree;rather agree;
No;Yes;No;No;No;No;;rather often;not at all;rarely;rarely;;rather often;rather rarely;rarely;not at all;not at all;;rather often;rather often;rather often;rather rarely;No;No;Yes;No;No;No;Yes;;rather agree;agree at all;rather not agree;rather agree;agree at all;disagree at all;rather not agree;
No;No;No;No;No;No;Physics;very often;very often;;rather often;are used as process models and for the evaluation of use cases;very often;rather often;rather rarely;rather often;;;rather often;not at all;rather often;not at all;No;No;No;No;Yes;Yes;Yes;;disagree at all;disagree at all;;;rather not agree;rather agree;rather not agree;partly assumptions made for informal models are not correct
No;No;Yes;No;No;No;;very often;very often;very often;very often;Software architecture development;very often;very often;rather rarely;rather rarely;rather often;;rather often;very often;rather often;rarely;No;No;Yes;Yes;No;Yes;No;Architecture models, Deployment models;rather not agree;rather not agree;agree at all;rather not agree;agree at all;agree at all;rather not agree;
No;No;Yes;No;No;No;;rather often;rather often;rather often;rather often;;very often;rather often;rarely;rather rarely;rarely;;rather rarely;rather rarely;rather rarely;rather often;No;No;Yes;Yes;No;No;No;;rather agree;rather agree;disagree at all;rather agree;rather agree;rather agree;rather not agree;
Yes;Yes;No;No;No;No;;rather often;very often;rather rarely;rather rarely;;very often;rather often;rather rarely;rather rarely;rather often;;very often;rather rarely;rather rarely;rather rarely;No;No;Yes;Yes;No;Yes;Yes;;rather not agree;rather not agree;rather agree;rather not agree;rather agree;rather agree;rather not agree;
No;Yes;No;No;No;No;;rather often;rather often;rather often;rather often;;rather often;rather often;rather rarely;rather rarely;rarely;;rather often;rarely;rarely;rarely;No;No;Yes;Yes;No;Yes;Yes;;;;;;;;;
No;No;Yes;No;No;Yes;;rather often;rather rarely;;;;;;;;;;rather rarely;very often;rarely;rather rarely;No;No;No;No;No;Yes;Yes;;rather not agree;rather agree;rather agree;rather not agree;agree at all;rather not agree;rather agree;"If necessary tool for transfer still has to be selected and ""learned"" after creation of informal model -> informal model created quickly but may have high hurdle to transfer if tools of this model type are rarely used"
No;No;Yes;No;No;No;;very often;rather often;rather often;rather often;;very often;;;;;;rather often;very often;rather often;rather rarely;No;Yes;Yes;No;No;No;No;;rather not agree;rather not agree;rather agree;rather not agree;rather agree;rather agree;rather not agree;
No;No;Yes;No;No;No;;very often;very often;;;;very often;very often;not at all;not at all;rather often;;very often;very often;very often;rarely;No;No;Yes;Yes;No;No;No;;disagree at all;rather not agree;rather agree;disagree at all;agree at all;disagree at all;rather agree;
No;No;Yes;No;No;No;;very often;rather rarely;very often;rather rarely;;very often;rather rarely;rather rarely;rather rarely;very often;;very often;rather rarely;not at all;rather often;No;No;Yes;Yes;Yes;Yes;No;;rather agree;rather agree;No answer;No answer;agree at all;rather not agree;rather agree;
No;Yes;No;No;No;No;;rather often;rather often;rather often;rather often;;rather often;rather often;rather often;rather often;rather often;;very often;rarely;not at all;not at all;No;No;Yes;Yes;Yes;Yes;Yes;;disagree at all;rather not agree;No answer;No answer;No answer;No answer;rather not agree;
Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;;;;;;;;;
No;Yes;No;No;No;No;;very often;not at all;rather often;rather rarely;;very often;rather rarely;not at all;not at all;not at all;;rarely;very often;rarely;rather rarely;No;Yes;Yes;Yes;Yes;No;No;;disagree at all;rather agree;rather not agree;rather agree;rather agree;disagree at all;rather agree;
No;No;Yes;No;No;No;;very often;rather often;rather often;rather often;;very often;very often;rather rarely;rather rarely;rather rarely;;rather often;rather rarely;rather rarely;rarely;No;No;No;No;Yes;Yes;No;SW architecture models;rather not agree;rather not agree;rather agree;rather not agree;agree at all;rather agree;rather agree;
No;No;Yes;No;No;No;;very often;very often;very often;very often;;very often;very often;very often;rather rarely;rather often;;very often;rather often;not at all;rather often;No;No;Yes;Yes;Yes;Yes;Yes;;agree at all;disagree at all;rather agree;rather not agree;agree at all;rather not agree;rather not agree;
No;Yes;No;No;No;No;;very often;very often;very often;very often;;very often;very often;rather often;rather often;rather rarely;;very often;rather often;rather rarely;rather often;No;Yes;Yes;No;No;Yes;No;;rather not agree;rather not agree;rather agree;agree at all;agree at all;rather agree;rather agree;
No;No;No;No;No;No;Physics;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;tbd.;;;;;;;;
No;No;No;Yes;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;;;;;;;;;
Yes;No;No;No;No;No;;rather often;rarely;rather often;rather rarely;;rather often;rather rarely;rarely;not at all;;;rather rarely;rather often;rather often;rarely;No;No;No;No;No;No;Yes;;rather agree;disagree at all;rather agree;disagree at all;rather agree;rather agree;disagree at all;
No;No;No;No;Yes;No;;rather often;not at all;rarely;not at all;;rarely;rather rarely;not at all;not at all;not at all;;not at all;rather often;not at all;very often;No;No;No;No;No;No;Yes;;agree at all;agree at all;rather agree;rather not agree;No answer;disagree at all;disagree at all;
Yes;No;No;No;No;No;;rather often;rather often;rather rarely;rather often;;very often;rather often;rarely;not at all;not at all;;very often;rather rarely;rarely;rarely;No;No;Yes;Yes;No;Yes;Yes;;rather not agree;rather not agree;rather agree;rather not agree;rather agree;rather agree;rather not agree;
Yes;No;No;No;No;No;;;very often;very often;very often;;rather often;rather often;very often;very often;rather often;;rather often;rather often;rather often;rather often;No;No;Yes;No;Yes;Yes;No;;rather agree;rather agree;rather agree;agree at all;agree at all;agree at all;agree at all;
